occCode,majorOccCodeGroup,minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,
17-2151,17-0000,17-2000,17-2150,Architecture and Engineering Occupations,                    Mining and geological engineers,FALSE,FALSE,FALSE,FALSE,49.52,45.06,103010,93720,7300,6900,400,3,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
17-3000,17-0000,17-3000,17-3000,Architecture and Engineering Occupations,"          Drafters, engineering technicians, and mapping technicians",FALSE,TRUE,TRUE,TRUE,27.66,26.41,57530,54940,709200,697200,12100,12,3,8,0,0,0,0,1,1270,60,0,0,60,70,50,0,300,90,150,50,20,240,90,0,140,550,150,110,20,FALSE,FALSE
17-3010,17-0000,17-3000,17-3010,Architecture and Engineering Occupations,               Drafters,FALSE,FALSE,FALSE,TRUE,27.16,25.71,56500,53480,207700,204100,3600,2,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,FALSE,TRUE
17-3011,17-0000,17-3000,17-3010,Architecture and Engineering Occupations,                    Architectural and civil drafters,FALSE,FALSE,FALSE,FALSE,26.1,24.83,54290,51640,99600,97900,1700,1,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
17-3020,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"               Engineering technicians, except drafters",FALSE,FALSE,FALSE,TRUE,28.61,27.55,59510,57310,441300,438300,3000,10,3,6,0,0,0,0,1,970,0,0,0,0,50,30,0,240,90,130,0,20,140,80,0,50,480,100,110,20,FALSE,TRUE
17-3026,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,                    Industrial engineering technicians,FALSE,FALSE,FALSE,FALSE,27.37,25.64,56920,53330,63900,63400,500,1,1,0,0,0,0,0,0,60,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,TRUE,TRUE
19-0000,19-0000,19-0000,19-0000,"Life, Physical and Social Science Occupations","     Life, physical, and social science occupations",TRUE,TRUE,TRUE,TRUE,35.06,30.45,72930,63340,1299500,1235500,64000,15,5,6,0,0,0,0,4,1470,40,0,0,30,80,70,0,240,50,140,50,170,260,90,150,0,680,410,50,0,FALSE,FALSE
19-1000,19-0000,19-1000,19-1000,"Life, Physical and Social Science Occupations",          Life scientists,FALSE,TRUE,TRUE,TRUE,39.94,34.59,83080,71950,325400,316800,8600,6,0,0,0,0,1,0,5,330,0,0,0,0,0,0,0,80,0,60,0,40,150,20,120,0,40,0,20,0,FALSE,FALSE
19-1020,19-0000,19-1000,19-1020,"Life, Physical and Social Science Occupations",               Biological scientists,FALSE,FALSE,FALSE,TRUE,38.49,34.56,80060,71890,112800,110600,2200,1,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
19-1040,19-0000,19-1000,19-1040,"Life, Physical and Social Science Occupations",               Medical scientists,FALSE,FALSE,FALSE,TRUE,45.26,38.33,94150,79730,126100,123600,2500,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,20,0,20,0,20,30,20,0,0,20,0,20,0,FALSE,TRUE
19-1042,19-0000,19-1000,19-1040,"Life, Physical and Social Science Occupations","                    Medical scientists, except epidemiologists",FALSE,FALSE,FALSE,FALSE,45.68,38.72,95000,80530,120000,117500,2500,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,20,0,20,0,20,30,20,0,0,20,0,20,0,TRUE,TRUE
19-2000,19-0000,19-2000,19-2000,"Life, Physical and Social Science Occupations",          Physical scientists,FALSE,TRUE,TRUE,TRUE,41.98,37.4,87310,77790,278200,273500,4800,5,3,0,0,0,0,0,2,690,0,0,0,0,60,0,0,50,0,30,0,100,20,20,0,0,460,380,0,0,FALSE,FALSE
19-2030,19-0000,19-2000,19-2030,"Life, Physical and Social Science Occupations",               Chemists and materials scientists,FALSE,FALSE,FALSE,TRUE,39.68,36.26,82520,75420,96200,400,96200,3,3,0,0,0,0,0,0,150,0,0,0,0,0,0,0,20,0,0,0,90,20,20,0,0,20,0,0,0,FALSE,TRUE
19-2031,19-0000,19-2000,19-2030,"Life, Physical and Social Science Occupations",                    Chemists,FALSE,FALSE,FALSE,FALSE,38.86,35.45,80820,73740,88300,300,88300,3,3,0,0,0,0,0,0,150,0,0,0,0,0,0,0,20,0,0,0,90,20,20,0,0,20,0,0,0,TRUE,TRUE
19-3000,19-0000,19-3000,19-3000,"Life, Physical and Social Science Occupations",          Social scientists and related workers,FALSE,TRUE,TRUE,TRUE,39.13,36.19,81380,75280,303800,256900,46900,1,0,1,0,0,0,0,0,70,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,20,0,0,0,FALSE,FALSE
19-3090,19-0000,19-3000,19-3090,"Life, Physical and Social Science Occupations",               Miscellaneous social scientists and related workers,FALSE,FALSE,FALSE,TRUE,39.22,37.03,81570,77020,61900,57900,3900,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
19-4099,19-0000,19-4000,19-4090,"Life, Physical and Social Science Occupations","          Life, physical, and social science technicians",FALSE,FALSE,FALSE,FALSE,23.69,22.14,49270,46040,76100,74900,1200,3,0,0,0,0,0,0,3,140,0,0,0,0,0,0,0,40,20,0,0,0,30,20,0,0,60,0,20,0,TRUE,TRUE
21-0000,21-0000,21-0000,21-0000,Community and Social Service Occupations,     Community and social services occupations,TRUE,TRUE,TRUE,TRUE,22.69,20.67,47200,42990,2570700,2503700,66900,27,10,7,0,5,3,0,2,9320,2700,1840,740,120,1380,1200,0,2410,190,1970,210,160,1060,320,510,50,1590,490,50,30,FALSE,FALSE
21-1000,21-0000,21-1000,21-1000,Community and Social Service Occupations,"          Counselors, social workers, and other community and social service specialists",FALSE,TRUE,TRUE,TRUE,22.7,20.68,47220,43020,2126400,2064700,61700,15,7,4,0,0,3,0,1,9260,2700,1840,740,120,1380,1200,0,2370,190,1930,210,160,1050,320,510,50,1580,480,50,20,FALSE,FALSE
21-1010,21-0000,21-1000,21-1010,Community and Social Service Occupations,               Counselors,FALSE,FALSE,FALSE,TRUE,23.91,22.1,49740,45970,744500,702000,42400,6,3,0,0,0,0,0,3,3430,1080,710,320,40,480,400,0,740,50,610,80,60,570,140,420,0,480,80,0,0,FALSE,TRUE
21-1012,21-0000,21-1000,21-1010,Community and Social Service Occupations,"                    Educational, guidance, school, and vocational counselors",FALSE,FALSE,FALSE,FALSE,27.7,26.23,57620,54560,291700,283000,8800,1,0,0,0,0,0,0,1,300,80,50,30,0,30,30,0,110,0,100,0,0,20,0,0,0,60,20,0,0,TRUE,TRUE
21-1020,21-0000,21-1000,21-1020,Community and Social Service Occupations,               Social workers,FALSE,FALSE,FALSE,TRUE,24.38,22.54,50710,46890,682100,665700,16400,5,1,0,0,0,0,0,4,2240,430,270,120,50,530,450,0,480,60,350,50,70,100,50,20,0,630,270,20,0,FALSE,TRUE
21-1022,21-0000,21-1000,21-1020,Community and Social Service Occupations,                    Healthcare social workers,FALSE,FALSE,FALSE,FALSE,26.69,25.85,55510,53760,176500,170800,5700,1,1,0,0,0,0,0,0,260,30,20,0,0,120,50,0,50,0,20,0,20,0,0,0,0,50,30,0,0,TRUE,TRUE
21-1023,21-0000,21-1000,21-1020,Community and Social Service Occupations,                    Mental health and substance abuse social workers,FALSE,FALSE,FALSE,FALSE,23.02,20.53,47880,42700,123900,120200,3800,1,0,0,0,0,1,0,0,150,80,70,0,0,0,0,0,20,0,20,0,0,0,0,0,0,20,0,0,0,TRUE,TRUE
21-1090,21-0000,21-1000,21-1090,Community and Social Service Occupations,               Miscellaneous community and social service specialists,FALSE,FALSE,FALSE,TRUE,19.84,17.77,41270,36970,699900,697000,2900,4,3,0,0,0,0,0,1,3580,1190,870,300,20,370,350,0,1140,90,960,80,30,370,130,70,30,470,130,20,0,FALSE,TRUE
21-2000,21-0000,21-2000,21-2000,Community and Social Service Occupations,          Religious workers,FALSE,TRUE,TRUE,TRUE,22.42,20.3,46630,42220,444200,439000,5200,12,3,0,0,5,0,0,4,70,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
21-2010,21-0000,21-2000,21-2010,Community and Social Service Occupations,               Clergy,FALSE,FALSE,FALSE,TRUE,23.77,21.99,49450,45740,243900,242400,1500,7,2,0,0,3,0,0,2,50,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
21-2011,21-0000,21-2000,21-2010,Community and Social Service Occupations,                    Clergy,FALSE,FALSE,FALSE,FALSE,23.77,21.99,49450,45740,243900,242400,1500,7,2,0,0,3,0,0,2,50,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
23-0000,23-0000,23-0000,23-0000,Legal Occupations,     Legal occupations,TRUE,TRUE,TRUE,TRUE,50.95,38.3,105980,79650,1283300,1098200,185100,13,11,0,0,0,0,0,2,1000,0,0,0,0,80,60,0,390,0,380,0,20,120,100,0,0,390,0,370,0,FALSE,FALSE
23-1000,23-0000,23-1000,23-1000,Legal Occupations,"          Lawyers, judges, and related workers",FALSE,TRUE,TRUE,TRUE,65.27,55.31,135760,115050,858200,695300,162900,12,10,0,0,0,0,0,2,80,0,0,0,0,30,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,FALSE,FALSE
23-1010,23-0000,23-1000,23-1010,Legal Occupations,               Lawyers and judicial law clerks,FALSE,FALSE,FALSE,TRUE,66.44,55.89,138190,116250,806500,644800,161700,12,10,0,0,0,0,0,2,80,0,0,0,0,30,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,FALSE,TRUE
23-1011,23-0000,23-1000,23-1010,Legal Occupations,                    Lawyers,FALSE,FALSE,FALSE,FALSE,67.25,56.81,139880,118160,792500,630800,161700,12,10,0,0,0,0,0,2,80,0,0,0,0,30,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,TRUE,TRUE
23-2000,23-0000,23-2000,23-2000,Legal Occupations,          Legal support workers,FALSE,TRUE,TRUE,TRUE,26.25,23.83,54590,49560,425100,402900,22200,1,1,0,0,0,0,0,0,920,0,0,0,0,50,40,0,380,0,370,0,0,100,90,0,0,380,0,360,0,FALSE,FALSE
23-2010,23-0000,23-2000,23-2010,Legal Occupations,               Paralegals and legal assistants,FALSE,FALSE,FALSE,TRUE,25.57,23.8,53180,49500,285600,280300,5300,1,1,0,0,0,0,0,0,560,0,0,0,0,40,40,0,320,0,310,0,0,100,90,0,0,90,0,80,0,FALSE,TRUE
23-2011,23-0000,23-2000,23-2010,Legal Occupations,                    Paralegals and legal assistants,FALSE,FALSE,FALSE,FALSE,25.57,23.8,53180,49500,285600,280300,5300,1,1,0,0,0,0,0,0,560,0,0,0,0,40,40,0,320,0,310,0,0,100,90,0,0,90,0,80,0,TRUE,TRUE
25-0000,25-0000,25-0000,25-0000,"Education, Training and Library Occupations","     Education, training, and library occupations",TRUE,TRUE,TRUE,TRUE,26.21,23.08,54520,48000,9426500,9249700,176900,32,8,15,0,5,4,0,0,10050,2370,1130,1180,60,140,70,0,3300,270,2360,660,420,1550,720,710,80,2240,480,20,40,FALSE,FALSE
25-1000,25-0000,25-1000,25-1000,"Education, Training and Library Occupations",          Postsecondary teachers,FALSE,TRUE,TRUE,TRUE,,,81880,66500,1871400,1866100,5300,11,5,4,0,0,0,0,2,560,0,0,0,0,0,0,0,200,30,140,20,0,30,0,0,0,300,40,0,0,FALSE,FALSE
25-2000,25-0000,25-2000,25-2000,"Education, Training and Library Occupations","          Preschool, primary, secondary, and special education school teachers",FALSE,TRUE,TRUE,TRUE,,,57470,54720,4264800,4259600,5200,6,1,3,0,0,0,0,2,4020,910,480,400,30,30,0,0,1480,120,910,450,180,550,330,200,0,830,170,0,0,FALSE,FALSE
25-2020,25-0000,25-2000,25-2020,"Education, Training and Library Occupations",               Elementary and middle school teachers,FALSE,FALSE,FALSE,TRUE,,,59270,56100,2053900,2500,2053900,1,0,1,0,0,0,0,0,1460,410,160,250,0,0,0,0,680,50,240,400,0,190,110,50,0,170,0,0,0,FALSE,TRUE
25-2030,25-0000,25-2000,25-2030,"Education, Training and Library Occupations",               Secondary school teachers,FALSE,FALSE,FALSE,TRUE,,,61280,57980,1097400,700,1097400,1,0,1,0,0,0,0,0,180,30,0,30,0,0,0,0,50,0,50,0,0,70,50,0,0,30,0,0,0,FALSE,TRUE
25-2031,25-0000,25-2000,25-2030,"Education, Training and Library Occupations","                    Secondary school teachers, except special and career/technical education",FALSE,FALSE,FALSE,FALSE,,,61420,58030,1018700,700,1018700,1,0,1,0,0,0,0,0,180,30,0,30,0,0,0,0,50,0,50,0,0,70,50,0,0,30,0,0,0,TRUE,TRUE
25-2050,25-0000,25-2000,25-2050,"Education, Training and Library Occupations",               Special education teachers,FALSE,FALSE,FALSE,TRUE,,,61280,57630,480600,100,480600,3,1,0,0,1,0,0,1,260,220,180,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
25-2052,25-0000,25-2000,25-2050,"Education, Training and Library Occupations","                    Special education teachers, preschool",FALSE,FALSE,FALSE,FALSE,,,60090,57040,188900,100,188900,1,0,0,0,1,0,0,0,90,90,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
25-2053,25-0000,25-2000,25-2050,"Education, Training and Library Occupations","                    Special education teachers, secondary school",FALSE,FALSE,FALSE,FALSE,,,61910,58560,89300,88700,89300,1,1,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
25-3000,25-0000,25-3000,25-3000,"Education, Training and Library Occupations",          Other teachers and instructors,FALSE,TRUE,TRUE,TRUE,18.54,15.34,38560,31910,1416200,1260600,155600,10,0,6,0,0,0,0,4,2400,360,130,220,0,20,0,0,650,20,560,70,190,530,120,360,40,640,110,0,0,FALSE,FALSE
25-3020,25-0000,25-3000,25-3020,"Education, Training and Library Occupations",               Self-enrichment education teachers,FALSE,FALSE,FALSE,TRUE,20.75,17.95,43150,37330,354200,284200,70000,8,0,5,0,0,0,0,3,660,110,70,30,0,0,0,0,100,0,90,0,90,30,20,0,0,330,0,0,0,FALSE,TRUE
25-3021,25-0000,25-3000,25-3020,"Education, Training and Library Occupations",                    Self-enrichment education teachers,FALSE,FALSE,FALSE,FALSE,20.75,17.95,43150,37330,354200,284200,70000,8,0,5,0,0,0,0,3,660,110,70,30,0,0,0,0,100,0,90,0,90,30,20,0,0,330,0,0,0,TRUE,TRUE
25-4000,25-0000,25-4000,25-4000,"Education, Training and Library Occupations","          Librarians, curators, and archivists",FALSE,TRUE,TRUE,TRUE,23.89,22.41,49700,46610,268400,267900,400,3,0,1,0,0,0,0,2,200,0,0,0,0,0,0,0,140,0,130,0,0,0,0,0,0,30,0,0,0,FALSE,FALSE
25-4020,25-0000,25-4000,25-4020,"Education, Training and Library Occupations",               Librarians,FALSE,FALSE,FALSE,TRUE,28.78,27.73,59870,57680,138200,200,138200,3,0,1,0,0,0,0,2,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
25-4021,25-0000,25-4000,25-4020,"Education, Training and Library Occupations",                    Librarians,FALSE,FALSE,FALSE,FALSE,28.78,27.73,59870,57680,138200,200,138200,3,0,1,0,0,0,0,2,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
27-0000,27-0000,27-0000,27-0000,"Arts, Design, Entertainment, Sports and Media Occupations","     Arts, design, entertainment, sports, and media occupations",TRUE,TRUE,TRUE,TRUE,28.07,22.69,58390,47190,2772900,2075000,697900,64,14,28,5,9,5,3,0,6470,550,20,510,0,110,80,0,1570,140,1260,140,100,1080,790,180,90,2420,160,200,650,FALSE,FALSE
27-1000,27-0000,27-1000,27-1000,"Arts, Design, Entertainment, Sports and Media Occupations",          Art and design workers,FALSE,TRUE,TRUE,TRUE,25.32,21.35,52660,44410,833700,591500,242200,6,4,0,0,0,0,0,2,920,0,0,0,0,20,0,0,260,50,190,0,30,330,270,50,0,270,60,40,0,FALSE,FALSE
27-1010,27-0000,27-1000,27-1010,"Arts, Design, Entertainment, Sports and Media Occupations",               Artists and related workers,FALSE,FALSE,FALSE,TRUE,38.24,33.69,79530,70080,217400,90800,126600,5,3,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,40,0,FALSE,TRUE
27-1020,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports and Media Occupations",               Designers,FALSE,FALSE,FALSE,TRUE,22.97,19.61,47780,40800,616300,500700,115600,1,1,0,0,0,0,0,0,830,0,0,0,0,20,0,0,250,50,190,0,20,310,260,40,0,230,60,0,0,FALSE,TRUE
27-1025,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports and Media Occupations",                    Interior designers,FALSE,FALSE,FALSE,FALSE,27.03,23.95,56220,49810,66500,54000,12600,1,1,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,TRUE,TRUE
27-2000,27-0000,27-2000,27-2000,"Arts, Design, Entertainment, Sports and Media Occupations","          Entertainers and performers, sports and related workers",FALSE,TRUE,TRUE,TRUE,29.29,19.65,60910,40870,801900,633500,168400,44,8,22,3,5,4,0,2,4140,510,20,490,0,20,0,0,500,50,360,60,40,580,430,100,40,1880,20,90,610,FALSE,FALSE
27-2020,27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports and Media Occupations","               Athletes, coaches, umpires, and related workers",FALSE,FALSE,FALSE,TRUE,,,42290,31440,309000,277700,31300,29,3,19,0,3,0,0,4,3330,450,0,440,0,0,0,0,270,0,210,30,20,490,370,80,30,1490,0,60,600,FALSE,TRUE
27-2021,27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports and Media Occupations",                    Athletes and sports competitors,FALSE,FALSE,FALSE,FALSE,,,83730,47710,11800,10100,1700,21,2,18,0,0,0,0,1,2540,300,0,300,0,0,0,0,40,0,30,0,0,300,240,50,0,1290,0,60,600,TRUE,TRUE
27-2022,27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports and Media Occupations",                    Coaches and scouts,FALSE,FALSE,FALSE,FALSE,,,41000,31460,276100,248300,27700,7,0,0,0,0,0,0,7,670,60,0,60,0,0,0,0,230,0,180,30,0,160,140,20,0,200,0,0,0,TRUE,TRUE
27-2023,27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports and Media Occupations","                    Umpires, referees, and other sports officials",FALSE,FALSE,FALSE,FALSE,,,35540,25660,21100,19300,1900,1,0,0,0,1,0,0,0,120,80,0,70,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,TRUE,TRUE
27-2040,27-0000,27-2000,27-2040,"Arts, Design, Entertainment, Sports and Media Occupations","               Musicians, singers, and related workers",FALSE,FALSE,FALSE,TRUE,32.86,24.67,,,247300,167200,80100,10,4,2,3,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,FALSE,TRUE
27-2042,27-0000,27-2000,27-2040,"Arts, Design, Entertainment, Sports and Media Occupations",                    Musicians and singers,FALSE,FALSE,FALSE,FALSE,34.56,25.14,,,172400,111600,60800,10,4,2,3,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,TRUE,TRUE
27-3000,27-0000,27-3000,27-3000,"Arts, Design, Entertainment, Sports and Media Occupations",          Media and communication workers,FALSE,TRUE,TRUE,TRUE,30.35,26.34,63130,54780,774800,612200,162600,8,2,3,1,1,0,0,1,350,30,0,30,0,40,30,0,160,0,120,40,0,40,20,0,0,60,0,0,0,FALSE,FALSE
27-3040,27-0000,27-3000,27-3040,"Arts, Design, Entertainment, Sports and Media Occupations",               Writers and editors,FALSE,FALSE,FALSE,TRUE,33.31,29.59,69280,61550,311000,200000,111000,1,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
27-3041,27-0000,27-3000,27-3040,"Arts, Design, Entertainment, Sports and Media Occupations",                    Editors,FALSE,FALSE,FALSE,FALSE,31.77,27.51,66080,57210,127400,101900,25500,1,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
27-4010,27-0000,27-4000,27-4010,"Arts, Design, Entertainment, Sports and Media Occupations",               Broadcast and sound engineering technicians and radio operators,FALSE,FALSE,FALSE,TRUE,23.68,20.47,49250,42590,135300,122100,13200,4,0,0,1,0,0,0,3,220,0,0,0,0,0,0,0,90,30,50,0,0,90,50,0,0,20,0,0,0,FALSE,TRUE
27-4014,27-0000,27-4000,27-4010,"Arts, Design, Entertainment, Sports and Media Occupations",                    Sound engineering technicians,FALSE,FALSE,FALSE,FALSE,31.37,25.81,65240,53680,17000,15200,1800,1,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
27-4020,27-0000,27-4000,27-4020,"Arts, Design, Entertainment, Sports and Media Occupations",               Photographers,FALSE,FALSE,FALSE,TRUE,20.5,16.38,42640,34070,147300,46900,100400,1,0,0,0,1,0,0,0,340,0,0,0,0,30,30,0,90,0,70,20,0,0,0,0,0,180,70,60,0,FALSE,TRUE
27-4021,27-0000,27-4000,27-4020,"Arts, Design, Entertainment, Sports and Media Occupations",                    Photographers,FALSE,FALSE,FALSE,FALSE,20.5,16.38,42640,34070,147300,46900,100400,1,0,0,0,1,0,0,0,340,0,0,0,0,30,30,0,90,0,70,20,0,0,0,0,0,180,70,60,0,TRUE,TRUE
29-0000,29-0000,29-0000,29-0000,Healthcare Practicioners and Technical Occupations,     Healthcare practitioners and technical occupations,TRUE,TRUE,TRUE,TRUE,38.06,30.49,79160,63420,8751500,8518400,233100,60,19,18,0,3,18,0,2,46830,6140,3050,1870,1210,1910,1770,20,12140,750,9500,1700,1700,5210,3010,1390,490,19610,4810,890,90,FALSE,FALSE
29-1000,29-0000,29-1000,29-1000,Healthcare Practicioners and Technical Occupations,          Health diagnosing and treating practitioners,FALSE,TRUE,TRUE,TRUE,47.51,37.49,98830,77980,5485400,5278400,207000,24,10,5,0,0,8,0,1,24180,3000,1690,950,350,990,920,0,6300,350,4930,930,810,2370,1320,700,190,10660,2280,280,60,FALSE,FALSE
29-1020,29-0000,29-1000,29-1020,Healthcare Practicioners and Technical Occupations,               Dentists,FALSE,FALSE,FALSE,TRUE,85.9,76.81,178670,159770,153500,123900,29600,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,70,0,70,0,0,70,0,0,0,40,0,0,0,FALSE,TRUE
29-1021,29-0000,29-1000,29-1020,Healthcare Practicioners and Technical Occupations,"                    Dentists, general",FALSE,FALSE,FALSE,FALSE,83.59,73.99,173860,153900,132800,106800,26000,1,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,70,0,70,0,0,70,0,0,0,0,0,0,0,TRUE,TRUE
29-1060,29-0000,29-1000,29-1060,Healthcare Practicioners and Technical Occupations,               Physicians and surgeons,FALSE,FALSE,FALSE,TRUE,101.04,,210170,,713800,666000,47800,6,4,1,0,0,1,0,0,340,0,0,0,0,0,0,0,150,0,140,0,40,30,30,0,0,100,0,0,0,FALSE,TRUE
29-2000,29-0000,29-2000,29-2000,Healthcare Practicioners and Technical Occupations,          Health technologists and technicians,FALSE,TRUE,TRUE,TRUE,22.34,20.55,46460,42750,3093500,3077800,15800,31,7,11,0,0,9,0,4,22110,3090,1320,910,860,900,830,20,5640,350,4430,760,860,2760,1670,640,300,8810,2520,610,30,FALSE,FALSE
29-2030,29-0000,29-2000,29-2030,Healthcare Practicioners and Technical Occupations,               Diagnostic related technologists and technicians,FALSE,FALSE,FALSE,TRUE,30.27,29.4,62960,61160,384100,381800,2400,5,0,0,0,0,3,0,2,2290,100,0,90,0,0,0,0,470,0,430,20,70,310,180,80,30,1340,180,140,0,FALSE,TRUE
29-2033,29-0000,29-2000,29-2030,Healthcare Practicioners and Technical Occupations,                    Nuclear medicine technologists,FALSE,FALSE,FALSE,FALSE,36.52,35.75,75960,74350,20100,20000,100,1,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,TRUE,TRUE
29-2040,29-0000,29-2000,29-2040,Healthcare Practicioners and Technical Occupations,               Emergency medical technicians and paramedics,FALSE,FALSE,FALSE,TRUE,17.36,15.71,36110,32670,248000,247700,300,10,0,6,0,0,0,0,4,3830,250,100,150,0,480,460,0,540,50,200,250,0,330,180,90,60,2210,1050,0,0,FALSE,TRUE
29-2041,29-0000,29-2000,29-2040,Healthcare Practicioners and Technical Occupations,                    Emergency medical technicians and paramedics,FALSE,FALSE,FALSE,FALSE,17.36,15.71,36110,32670,248000,247700,300,10,0,6,0,0,0,0,4,3830,250,100,150,0,480,460,0,540,50,200,250,0,330,180,90,60,2210,1050,0,0,TRUE,TRUE
29-2050,29-0000,29-2000,29-2050,Healthcare Practicioners and Technical Occupations,               Health practitioner support technologists and technicians,FALSE,FALSE,FALSE,TRUE,16.91,15.93,35180,33140,767000,765800,1200,8,0,3,0,0,3,0,2,6970,1880,680,400,790,60,40,0,1530,70,1230,220,480,1130,720,290,100,1880,470,140,0,FALSE,TRUE
29-2056,29-0000,29-2000,29-2050,Healthcare Practicioners and Technical Occupations,                    Veterinary technologists and technicians,FALSE,FALSE,FALSE,FALSE,16.29,15.62,33870,32490,102000,101900,200,4,0,0,0,0,0,0,4,940,770,0,0,770,0,0,0,60,0,40,0,30,0,0,0,0,70,0,0,0,TRUE,TRUE
29-2060,29-0000,29-2000,29-2060,Healthcare Practicioners and Technical Occupations,               Licensed practical and licensed vocational nurses,FALSE,FALSE,FALSE,TRUE,21.56,21.2,44840,44090,724500,720600,3900,5,3,0,0,0,0,0,2,5280,620,430,140,50,260,250,0,1710,170,1300,190,120,500,330,60,50,2060,520,60,0,FALSE,TRUE
29-2061,29-0000,29-2000,29-2060,Healthcare Practicioners and Technical Occupations,                    Licensed practical and licensed vocational nurses,FALSE,FALSE,FALSE,FALSE,21.56,21.2,44840,44090,724500,720600,3900,5,3,0,0,0,0,0,2,5280,620,430,140,50,260,250,0,1710,170,1300,190,120,500,330,60,50,2060,520,60,0,TRUE,TRUE
29-9000,29-0000,29-9000,29-9000,Healthcare Practicioners and Technical Occupations,          Other healthcare practitioners and technical occupations,FALSE,TRUE,TRUE,TRUE,30.41,28.49,63250,59260,172600,162200,10400,5,0,0,0,0,1,0,4,530,50,40,0,0,30,20,0,200,50,130,0,30,80,20,50,0,140,0,0,0,FALSE,FALSE
